OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,Cost,Profit
1,1,408,2,615.82,0.00,831.60,400.04
2,2,57,2,385.62,0.00,496.38,274.86
3,2,152,4,1315.20,0.00,2879.92,2380.88
4,2,154,1,1516.48,0.00,813.55,702.93
5,3,107,4,1319.63,0.00,2480.84,2797.68
6,3,144,1,659.67,0.00,347.38,312.29
7,3,140,1,528.54,0.00,393.40,135.14
8,4,130,2,243.09,0.10,275.98,161.58
9,4,404,1,629.01,0.10,498.72,67.39
10,4,35,1,850.65,0.10,538.93,226.66
11,5,327,1,186.05,0.05,128.58,48.17
12,6,381,1,975.07,0.00,448.58,526.49
13,6,288,1,1215.08,0.00,884.80,330.28
14,6,404,1,629.01,0.00,498.72,130.29
15,6,353,1,380.53,0.00,239.09,141.44
16,7,305,3,139.83,0.00,274.95,144.54
17,7,312,2,809.68,0.00,1015.66,603.70
18,7,217,1,195.59,0.00,136.07,59.52
19,8,444,1,629.70,0.10,363.72,203.01
20,8,158,1,418.90,0.10,308.15,68.86
21,8,382,1,525.54,0.10,377.61,95.38
22,8,29,4,282.60,0.10,589.92,427.44
23,9,406,2,1445.12,0.00,1653.30,1236.94
24,10,252,1,1172.93,0.00,555.74,617.19
25,10,4,2,629.55,0.00,737.48,521.62
26,10,180,2,372.91,0.00,406.58,339.24
27,10,111,1,778.62,0.00,452.92,325.70
28,11,419,1,1061.08,0.10,672.18,282.79
29,11,229,1,1322.96,0.10,698.15,492.51
30,11,347,2,240.97,0.10,355.14,78.61
31,11,450,1,704.36,0.10,355.07,278.85
32,12,367,2,734.66,0.00,741.88,727.44
33,12,164,3,1180.66,0.00,1897.38,1644.60
34,12,71,1,232.84,0.00,183.43,49.41
35,13,200,1,599.24,0.05,380.75,188.53
36,14,119,4,446.10,0.10,1145.96,460.00
37,14,444,2,629.70,0.10,727.44,406.02
38,14,402,1,734.29,0.10,457.63,203.23
39,15,435,2,1295.65,0.00,1553.34,1037.96
40,15,81,1,881.59,0.00,471.96,409.63
41,16,356,2,276.92,0.00,402.24,151.60
42,16,423,1,684.67,0.00,345.17,339.50
43,16,373,3,361.53,0.00,521.07,563.52
