OrderID,OrderDate,CustomerID,StoreID,EmployeeID,PromotionID,PaymentMethod,ShippingMethod,OrderStatus
1,2022-06-06,396,11,123,NULL,NULL,"Next Day",Delivered
2,2025-03-18,4157,12,142,NULL,Mastercard,Standard,Delivered
3,2023-11-01,744,14,163,NULL,"Google Pay",Express,Delivered
4,2024-12-04,1829,27,316,NULL,"Bank Transfer","Next Day",Pending
5,2025-12-07,407,2,22,NULL,Mastercard,Standard,Packed
6,2024-04-02,1182,28,320,NULL,"Google Pay",Standard,Pending
7,2024-01-05,1481,10,117,NULL,Visa,"Next Day",Pending
8,2022-06-01,4488,21,244,NULL,"Bank Transfer",Standard,Packed
9,2023-02-24,5574,2,22,NULL,NULL,Express,Returned
10,2024-01-01,3713,11,128,NULL,PayPal,Express,Delivered
11,2024-10-15,2000,26,298,NULL,Visa,"Next Day",Delivered
12,2025-04-30,5976,17,200,NULL,"Apple Pay",Express,Pending
13,2023-08-08,1352,3,26,NULL,PayPal,Standard,Shipped
14,2022-05-21,636,14,157,NULL,"Google Pay","Next Day",Delivered
15,2023-04-02,4069,11,132,NULL,"Google Pay",Express,Delivered
16,2025-09-13,3884,27,308,NULL,"Bank Transfer","Next Day",Delivered
17,2022-11-27,5302,2,24,NULL,"Google Pay","Next Day",Shipped
18,2023-11-21,5478,10,120,NULL,PayPal,Standard,Shipped
19,2025-10-19,4045,12,135,NULL,Visa,Standard,Returned
20,2022-03-09,3260,10,111,NULL,"Apple Pay",Express,Delivered
21,2024-07-05,2277,6,68,NULL,Mastercard,Express,Packed
22,2025-11-20,2940,9,108,NULL,"Bank Transfer",Express,Delivered
23,2022-12-09,1901,5,50,NULL,"Bank Transfer",Standard,Delivered
24,2024-04-20,2310,16,190,NULL,Visa,Standard,Delivered
25,2025-09-12,2611,18,210,NULL,Mastercard,"Next Day",Shipped
26,2022-08-11,443,20,239,NULL,"Apple Pay","Next Day",Packed
27,2024-03-07,849,13,151,NULL,"Apple Pay","Next Day",Delivered
28,2025-01-02,1711,2,16,NULL,"Apple Pay",Standard,Delivered
29,2024-09-27,2,11,130,NULL,"Google Pay",Standard,Packed
30,2023-11-30,577,4,42,NULL,Mastercard,"Next Day",Delivered
31,2022-11-23,2846,5,59,NULL,"Google Pay",Express,Shipped
32,2023-12-17,3818,4,38,NULL,"Apple Pay",Express,Delivered
33,2023-07-31,2807,3,27,NULL,"Bank Transfer",Express,Shipped
34,2023-12-07,1682,27,309,NULL,"Google Pay",Express,Delivered
35,2023-07-23,6211,23,271,NULL,"Google Pay",Express,Cancelled
36,2025-06-20,2140,28,319,NULL,"Google Pay",Express,Delivered
37,2025-02-25,6383,12,136,NULL,"Google Pay",Express,Cancelled
38,2023-05-18,6213,8,94,NULL,Mastercard,Standard,Delivered
39,2024-06-02,4037,24,277,NULL,PayPal,"Next Day",Delivered
40,2023-03-11,1587,1,5,NULL,"Bank Transfer","Next Day",Delivered
41,2023-11-22,2988,15,180,NULL,Visa,Standard,Delivered
42,2023-07-08,1675,8,92,NULL,"Apple Pay","Next Day",Pending
43,2024-09-10,5350,27,307,NULL,PayPal,"Next Day",Delivered
44,2023-07-28,3183,27,317,NULL,"Bank Transfer",Standard,Shipped
45,2023-11-25,5209,29,331,NULL,PayPal,Standard,Returned
46,2024-12-01,696,13,152,NULL,"Bank Transfer",Standard,Delivered
47,2023-09-17,7413,5,49,NULL,NULL,"Next Day",Delivered
48,2025-09-10,5385,20,238,NULL,PayPal,Standard,Packed
49,2022-10-18,6549,18,207,NULL,"Bank Transfer","Next Day",Delivered
50,2024-12-17,3554,17,204,NULL,Mastercard,Standard,Delivered
51,2023-10-03,1971,9,100,NULL,"Google Pay",Express,Delivered
52,2023-10-11,499,18,211,NULL,"Bank Transfer",Express,Shipped
53,2024-08-11,4234,22,261,NULL,"Apple Pay","Next Day",Delivered
54,2024-03-06,154,18,207,NULL,"Apple Pay",Standard,Pending
55,2023-09-20,3879,1,3,NULL,"Google Pay","Next Day",Delivered
56,2022-01-05,4247,18,205,NULL,"Google Pay","Next Day",Shipped
57,2022-06-25,466,26,297,NULL,Mastercard,Standard,Delivered
58,2024-11-25,4602,2,14,NULL,Visa,Standard,Shipped
59,2024-03-08,4966,11,130,NULL,"Google Pay",Standard,Cancelled
60,2024-11-14,6614,9,104,NULL,"Apple Pay","Next Day",Delivered
61,2025-11-23,2127,23,271,NULL,"Google Pay",Standard,Shipped
62,2024-10-22,3622,5,55,NULL,PayPal,Standard,Cancelled
63,2022-04-29,5485,8,91,NULL,PayPal,Standard,Returned
64,2023-05-09,3000,5,60,NULL,Mastercard,Express,Delivered
65,2024-06-25,772,15,172,NULL,"Apple Pay",Express,Delivered
66,2022-12-13,4224,22,255,2,"Apple Pay",Express,Delivered
67,2025-11-29,5916,7,78,NULL,PayPal,Standard,Delivered
68,2025-11-13,149,18,212,NULL,"Apple Pay",Express,Shipped
69,2025-07-02,527,20,233,NULL,Visa,Standard,Delivered
70,2023-12-03,7422,3,29,NULL,Mastercard,Express,Returned
71,2025-06-24,5538,5,55,NULL,PayPal,Express,Delivered
72,2022-08-08,5738,18,213,NULL,PayPal,Standard,Delivered
73,2023-05-09,2204,2,24,26,Visa,"Next Day",Delivered
74,2023-11-27,546,26,300,7,PayPal,Standard,Shipped
75,2024-12-18,3423,1,6,NULL,NULL,"Next Day",Delivered
76,2023-12-13,897,2,21,NULL,Mastercard,Express,Delivered
77,2022-08-14,5151,6,64,NULL,PayPal,"Next Day",Returned
78,2023-06-26,5507,7,77,NULL,Mastercard,Express,Delivered
79,2023-06-04,303,26,296,NULL,Visa,Standard,Returned
80,2023-04-24,4213,17,201,NULL,NULL,Standard,Shipped
81,2022-09-21,3541,4,47,NULL,"Bank Transfer",Express,Packed
82,2023-09-20,2522,27,313,NULL,"Bank Transfer",Standard,Delivered
83,2023-11-18,5790,11,124,NULL,"Bank Transfer","Next Day",Delivered
84,2025-03-09,6857,13,150,NULL,Mastercard,Standard,Delivered
85,2025-04-17,454,21,245,NULL,Visa,"Next Day",Delivered
86,2024-03-05,2310,28,326,NULL,"Google Pay",Standard,Cancelled
87,2023-11-26,1291,10,109,NULL,PayPal,Express,Delivered
88,2025-03-15,4482,9,102,NULL,PayPal,Standard,Delivered
89,2025-08-15,1499,29,333,NULL,Visa,Express,Delivered
90,2024-10-08,5375,3,32,NULL,Mastercard,Standard,Shipped
91,2025-04-24,1179,25,285,28,"Apple Pay","Next Day",Delivered
92,2025-11-02,5159,13,145,NULL,Mastercard,Standard,Pending
93,2022-04-06,5866,17,195,NULL,"Google Pay",Express,Returned
94,2025-08-03,1225,11,132,NULL,PayPal,"Next Day",Pending
95,2023-03-12,6843,21,243,NULL,"Bank Transfer","Next Day",Pending
96,2023-12-06,4142,14,168,NULL,Mastercard,"Next Day",Returned
