ReturnID,OrderID,IsValidOrder,ReturnDate,ReturnReason,RefundAmount
1,39560,Yes,2022-03-02,Damaged,670.55
2,34846,Yes,2025-07-03,"Changed Mind",1044.94
3,42787,Yes,2022-06-02,Damaged,852.24
4,38725,Yes,2023-12-10,"Wrong Item",119.63
5,23382,Yes,2025-08-27,"Wrong Item",1799.53
6,41626,Yes,2023-01-07,"Changed Mind",337.11
7,21083,Yes,2025-07-05,Damaged,1557.79
8,6380,Yes,2024-01-23,"Wrong Item",579.44
9,43945,Yes,2024-06-12,"Late Delivery",123.34
10,16481,Yes,2025-10-17,Damaged,426.25
11,12479,Yes,2023-12-28,"Changed Mind",678.38
12,39891,Yes,2022-09-16,"Late Delivery",91.13
13,48476,Yes,2025-12-23,"Changed Mind",605.93
14,34106,Yes,2022-03-01,"Faulty Product",833.15
15,13266,Yes,2025-04-27,"Changed Mind",69.59
16,3226,Yes,2025-06-29,"Late Delivery",250.33
17,12562,Yes,2023-12-17,"Wrong Item",117.66
18,15110,Yes,2024-03-22,"Wrong Item",1308.81
19,45466,Yes,2023-11-24,"Wrong Item",908.56
20,43593,Yes,2025-06-04,"Faulty Product",501.64
21,5807,Yes,2023-08-11,"Changed Mind",1616.85
22,9963,Yes,2022-04-01,"Changed Mind",188.45
23,36587,Yes,2023-08-20,"Late Delivery",76.38
24,4764,Yes,2024-02-08,"Faulty Product",696.04
25,20486,Yes,2024-07-12,"Changed Mind",175.46
26,36847,Yes,2024-04-20,"Changed Mind",713.62
27,21255,Yes,2025-06-08,Damaged,157.28
28,30990,Yes,2024-12-07,Damaged,623.07
29,46909,Yes,2023-07-29,"Changed Mind",1169.37
30,47821,Yes,2023-05-01,"Faulty Product",462.65
31,3123,Yes,2025-12-06,"Faulty Product",1590.72
32,39090,Yes,2022-12-03,"Wrong Item",600.89
33,12538,Yes,2023-12-11,"Changed Mind",326.51
34,14132,Yes,2023-06-10,"Late Delivery",1051.56
35,39241,Yes,2023-12-15,"Late Delivery",799.15
36,44293,Yes,2022-08-08,Damaged,1249.91
37,31683,Yes,2022-12-24,Damaged,243.03
38,394,Yes,2024-12-11,Damaged,201.90
39,29767,Yes,2025-08-30,"Late Delivery",154.88
40,7559,Yes,2023-11-08,"Faulty Product",963.16
41,13721,Yes,2022-11-26,"Late Delivery",1784.40
42,23458,Yes,2022-12-05,"Late Delivery",294.86
43,15993,Yes,2022-12-22,"Changed Mind",947.91
44,10004,Yes,2024-12-21,"Changed Mind",534.64
45,35535,Yes,2022-06-13,Damaged,655.15
46,24755,Yes,2023-05-22,Damaged,722.07
47,21946,Yes,2022-07-19,"Changed Mind",837.39
48,15358,Yes,2024-01-27,"Faulty Product",599.59
49,34327,Yes,2023-01-16,"Wrong Item",994.02
50,22254,Yes,2022-12-24,"Late Delivery",891.66
51,17005,Yes,2024-12-21,Damaged,740.85
52,13140,Yes,2023-07-07,"Changed Mind",480.77
53,12650,Yes,2025-10-21,"Wrong Item",1076.14
54,28567,Yes,2022-06-21,"Late Delivery",127.00
55,27640,Yes,2022-09-08,"Late Delivery",474.94
56,667,Yes,2024-06-15,"Late Delivery",1044.15
57,44335,Yes,2024-06-19,Damaged,73.19
58,18360,Yes,2023-06-19,"Late Delivery",922.36
59,22897,Yes,2022-07-11,"Late Delivery",1231.20
60,15804,Yes,2022-11-16,"Late Delivery",632.58
61,37725,Yes,2023-08-20,"Faulty Product",79.99
62,15151,Yes,2024-08-08,"Faulty Product",192.75
63,13998,Yes,2023-11-02,"Late Delivery",160.10
64,30023,Yes,2022-09-16,"Faulty Product",323.96
