ShipmentID,OrderID,Carrier,ShipDate,DeliveryDate,ShippingCost
1,20696,"Royal Mail",2024-09-16,2024-09-23,9.44
2,22327,DPD,2025-06-27,2025-07-03,17.41
3,15779,Evri,2022-11-28,2022-11-29,14.76
4,7874,Unknown,2025-08-16,2025-08-23,11.36
5,31792,Evri,2023-07-24,2023-07-25,16.19
6,40935,DHL,2022-01-20,2022-01-27,6.35
7,9415,DPD,2024-07-26,2024-07-29,4.80
8,26283,"Royal Mail",2023-02-23,2023-02-24,13.60
9,33041,DHL,2024-03-19,2024-03-26,6.47
10,5329,UPS,2024-12-04,2024-12-10,21.73
11,12030,UPS,2024-06-25,2024-07-01,13.54
12,9935,UPS,2025-12-01,2025-12-05,22.90
13,3310,UPS,2025-01-02,2025-01-08,21.46
14,19596,UPS,2023-11-30,2023-12-06,20.61
15,33679,DHL,2022-10-10,2022-10-16,9.81
16,36242,UPS,2025-12-21,2025-12-23,11.41
17,16505,Evri,2023-03-14,2023-03-15,22.92
18,24170,UPS,2025-12-29,2026-01-01,17.06
19,7638,UPS,2023-06-03,2023-06-08,4.39
20,25469,"Royal Mail",2023-06-24,2023-06-26,6.33
21,44930,DPD,2023-12-10,2023-12-16,23.35
22,NULL,DHL,2024-05-11,2024-05-16,4.39
23,5559,DHL,2022-01-03,2022-01-06,7.95
24,21944,UPS,2024-03-04,2024-03-11,19.10
25,17324,DHL,2024-07-21,2024-07-27,9.85
26,12118,DPD,2025-02-20,2025-02-22,18.80
27,34354,DPD,2024-01-08,2024-01-13,8.32
28,47032,DHL,2024-10-06,2024-10-12,21.88
29,30109,DPD,2025-04-06,2025-04-13,16.26
30,24477,"Royal Mail",2023-08-25,2023-08-31,17.98
31,28587,DHL,2025-05-18,2025-05-20,12.60
32,31334,UPS,2024-06-20,2024-06-21,15.36
33,2201,"Royal Mail",2022-07-19,2022-07-22,6.23
34,32412,DPD,2023-09-09,2023-09-10,7.83
35,42721,Evri,2022-07-26,2022-07-30,14.42
36,14139,DHL,2022-10-11,2022-10-14,3.49
37,15945,DHL,2022-10-02,2022-10-04,4.42
38,14481,Unknown,2025-01-25,2025-01-28,13.53
39,24780,DPD,2024-04-08,2024-04-09,16.38
40,40341,DPD,2024-12-03,2024-12-09,10.02
41,44887,DHL,2022-11-19,2022-11-24,5.00
42,18643,Evri,2024-12-05,2024-12-08,19.56
43,15867,DHL,2025-09-12,2025-09-19,6.18
44,43073,DPD,2025-04-05,2025-04-12,7.70
45,7057,Evri,2024-05-18,2024-05-23,20.30
46,41082,DHL,2023-11-23,2023-11-27,22.49
47,40681,Evri,2025-02-19,2025-02-24,12.19
48,35547,DPD,2025-12-07,2025-12-12,10.82
49,49738,UPS,2022-06-26,2022-06-30,20.86
50,7319,"Royal Mail",2022-04-13,2022-04-15,17.80
51,32774,"Royal Mail",2025-10-20,2025-10-21,24.08
52,49257,DPD,2023-11-15,2023-11-18,20.93
53,46768,UPS,2025-09-06,2025-09-13,20.96
54,2839,"Royal Mail",2022-08-04,2022-08-07,22.98
55,17121,DPD,2024-10-07,2024-10-10,24.99
56,17652,DPD,2022-12-01,2022-12-07,6.24
57,2325,UPS,2023-09-25,2023-09-29,5.58
58,43510,Evri,2025-07-19,2025-07-20,13.10
59,21835,Evri,2025-03-29,2025-04-01,21.39
60,4419,UPS,2024-11-30,2024-12-04,10.17
61,14142,"Royal Mail",2022-06-21,2022-06-27,24.75
62,35811,Evri,2025-11-07,2025-11-12,18.31
63,22407,Evri,2023-02-18,2023-02-24,21.41
64,22536,UPS,2022-05-20,2022-05-23,17.32
65,19656,Evri,2025-04-30,2025-05-02,24.60
66,27305,DPD,2025-06-08,2025-06-15,12.71
67,38945,Evri,2023-08-15,2023-08-16,7.35
68,29336,DHL,2023-03-02,2023-03-05,22.13
69,5103,Evri,2024-12-02,2024-12-05,11.69
70,4154,DHL,2022-10-12,2022-10-13,4.08
71,44938,DHL,2024-09-16,2024-09-21,4.77
72,16983,DHL,2025-10-10,2025-10-14,19.24
73,10390,DPD,2022-11-13,2022-11-15,18.10
74,48464,UPS,2025-12-17,2025-12-23,24.31
75,13844,"Royal Mail",2023-03-14,2023-03-16,24.12
76,18943,Evri,2022-12-11,2022-12-17,7.24
77,39851,Evri,2024-06-07,2024-06-11,23.91
78,38841,UPS,2025-12-15,2025-12-20,18.86
79,42497,UPS,2025-05-26,2025-05-28,3.57
80,20208,Evri,2024-09-30,2024-10-06,6.82
81,5729,UPS,2023-08-16,2023-08-20,20.06
82,48465,DPD,2022-07-22,2022-07-29,11.93
83,1237,Evri,2024-03-01,2024-03-05,4.45
84,1719,"Royal Mail",2022-02-14,2022-02-15,5.60
85,46256,Evri,2023-08-13,2023-08-14,12.24
86,33509,"Royal Mail",2024-04-17,2024-04-23,18.03
87,31152,DPD,2024-06-10,2024-06-16,11.02
88,13449,"Royal Mail",2025-01-09,2025-01-15,16.49
89,26348,DHL,2025-05-29,2025-05-30,2.64
90,4830,DHL,2025-05-03,2025-05-08,4.73
91,43115,Evri,2024-11-29,2024-12-06,20.72
92,3993,DHL,2024-11-04,2024-11-09,5.70
93,2785,DHL,2025-08-05,2025-08-11,22.02
94,31980,DHL,2024-09-02,2024-09-03,24.22
95,2752,DPD,2023-05-22,2023-05-26,6.15
