InventoryID,StoreID,ProductID,StockQuantity,ReorderLevel,LastUpdated
1,22,88,347,54,2024-06-29
2,11,449,230,58,2022-02-20
3,29,3,24,49,2025-08-12
4,16,257,295,45,2022-07-06
5,22,442,371,30,2023-08-04
6,5,264,253,19,2023-10-31
7,1,146,304,43,2024-09-12
8,28,347,16,13,2023-05-15
9,4,75,283,26,2025-08-30
10,23,47,346,28,2024-03-14
11,14,300,209,60,2024-04-03
12,1,81,252,20,2024-06-30
13,15,174,40,36,2023-09-13
14,11,34,139,49,2024-03-07
15,18,314,497,44,2025-05-16
16,20,19,103,21,2025-12-01
17,24,271,205,46,2022-12-23
18,14,171,352,33,2024-05-16
19,17,53,168,19,2024-07-31
20,25,224,220,51,2024-04-25
21,16,77,337,32,2025-04-19
22,12,287,279,21,2022-01-05
23,4,32,264,54,2024-02-17
24,18,67,215,49,2025-05-01
25,30,429,274,18,2023-05-19
26,1,294,449,50,2022-07-12
27,18,354,300,13,2022-08-14
28,28,29,412,52,2025-05-08
29,25,234,94,15,2023-06-06
30,9,435,348,31,2022-12-11
31,18,353,252,50,2023-06-25
32,6,169,331,30,2022-01-01
33,6,407,162,24,2023-07-16
34,2,346,358,55,2022-05-09
35,13,243,183,27,2022-09-03
36,17,281,11,18,2023-05-17
37,17,274,497,29,2025-12-04
38,27,344,391,39,2024-10-31
39,6,193,314,22,2023-07-31
40,13,185,156,38,2022-05-03
41,20,242,410,25,2025-06-24
42,15,103,470,18,2023-12-31
43,14,163,345,37,2025-03-21
44,16,137,93,30,2025-01-23
45,16,420,223,19,2024-07-09
46,2,14,447,48,2023-02-05
47,11,123,443,16,2022-11-03
48,26,79,454,52,2024-09-23
49,8,26,377,56,2024-02-06
50,18,22,360,39,2024-08-22
51,29,141,464,28,2023-05-29
52,16,68,236,43,2022-12-25
53,28,175,194,43,2025-02-27
54,17,10,166,33,2024-04-24
55,1,405,141,16,2022-02-13
56,26,45,463,43,2023-10-10
57,13,221,437,50,2022-11-17
58,12,66666,9,26,2023-04-06
59,16,320,137,40,2025-11-24
60,9,191,288,29,2023-03-08
61,21,131,165,20,2024-01-23
62,30,359,335,20,2025-11-15
63,18,27,63,36,2023-06-23
64,12,410,239,42,2025-12-20
65,16,380,229,37,2024-09-10
66,25,253,159,29,2023-02-04
67,10,275,-442,42,2024-07-05
68,7,256,206,24,2024-10-20
69,17,389,414,42,2025-12-10
70,21,122,344,22,2022-11-16
71,19,57,51,55,2022-07-16
72,15,121,113,15,2023-05-20
73,15,1,318,37,2023-02-18
74,21,367,198,11,2022-02-08
75,8,159,43,13,2022-06-04
76,15,153,372,48,2025-08-06
77,26,194,394,59,2023-08-30
78,4,165,330,19,2023-10-17
79,6,182,182,55,2023-08-14
80,7,448,15,23,2025-07-24
81,15,366,69,56,2023-05-07
82,11,92,1,42,2025-09-01
83,25,335,204,15,2022-01-10
84,25,386,440,17,2023-03-21
85,25,331,229,46,2023-08-09
86,28,90,469,20,2022-08-01
87,15,72,72,28,2024-08-03
88,2,186,175,26,2023-04-24
89,18,54,196,30,2022-05-13
90,8,1,81,29,2024-09-06
91,2,25,401,17,2022-07-09
92,29,401,175,54,2025-06-03
93,3,45,368,10,2024-05-20
94,20,439,201,42,2023-11-11
95,11,243,281,47,2023-12-18
96,20,66666,1,44,2022-06-24
97,15,43,459,55,2022-08-12
98,15,223,122,54,2023-10-03
99,21,284,318,18,2025-03-09
100,3,166,34,44,2025-10-18
101,25,217,10,50,2024-11-30
102,25,259,438,21,2022-10-29
103,12,183,-364,24,2022-03-17
104,16,99,223,55,2024-02-07
105,1,438,191,46,2023-11-22
106,7,99,136,11,2022-06-10
107,8,375,239,30,2022-03-06
108,15,279,431,52,2024-04-23
109,8,344,425,52,2025-01-19
110,5,350,20,18,2023-07-23
111,6,15,99,14,2022-06-16
112,13,438,469,59,2023-12-11
113,18,362,347,56,2022-10-06
114,28,450,153,44,2024-08-03
115,9,51,207,23,2025-10-19
116,7,25,389,48,2023-07-02
117,10,167,85,14,2024-01-22
118,11,3,469,54,2024-10-09
119,25,347,407,60,2022-12-14
120,22,258,24,50,2023-01-19
121,12,145,199,47,2025-10-22
122,18,135,484,39,2024-03-01
123,13,347,241,20,2022-02-08
124,18,219,243,12,2025-07-01
125,10,415,356,27,2025-09-27
126,19,71,383,23,2023-08-27
127,18,289,321,12,2023-04-24
128,20,21,445,31,2023-01-22
129,17,367,180,41,2024-12-21
130,26,290,313,28,2024-10-10
131,27,110,190,28,2024-03-23
132,9,367,368,48,2025-02-27
133,11,307,75,52,2024-06-08
134,6,230,28,55,2023-09-27
135,28,289,41,19,2022-09-29
136,7,7,50,21,2025-04-10
137,8,325,275,23,2025-06-05
138,3,34,448,47,2024-09-13
139,27,218,308,16,2023-05-24
140,8,154,98,16,2023-09-01
141,15,301,196,21,2023-05-15
142,27,273,39,33,2025-02-13
143,20,393,189,19,2023-12-19
144,27,448,363,46,2022-03-15
145,28,316,178,32,2023-01-04
146,5,413,18,44,2022-07-24
147,9,428,145,37,2025-11-15
148,5,382,377,10,2025-03-13
149,5,110,301,18,2024-09-06
150,28,74,496,44,2023-10-30
151,19,66666,395,55,2025-02-11
152,10,37,387,59,2022-04-20
153,6,387,114,42,2022-03-28
154,22,296,342,60,2025-08-28
155,16,70,366,30,2025-04-26
156,20,325,269,21,2022-09-23
157,8,276,265,21,2025-02-03
158,7,217,471,26,2025-07-07
159,15,317,74,13,2022-05-07
160,7,60,481,22,2022-04-29
161,29,106,118,52,2025-11-11
162,23,244,13,47,2023-04-05
163,20,214,324,48,2024-03-31
164,27,384,357,40,2022-08-19
165,3,236,192,38,2024-09-04
166,29,294,451,40,2023-03-02
167,13,420,225,40,2024-12-25
168,17,167,485,46,2023-12-31
169,22,13,421,57,2025-07-03
170,3,151,329,20,2022-12-24
171,13,62,229,16,2024-12-12
172,1,376,495,44,2025-06-29
173,10,60,284,39,2023-02-27
174,9,319,156,40,2025-07-18
175,1,288,469,19,2025-03-12
176,6,433,268,49,2023-06-11
177,19,386,107,39,2024-07-30
178,9,402,209,47,2022-10-31
179,2,152,169,34,2024-03-02
180,6,213,359,34,2025-08-14
181,6,144,229,41,2024-11-25
182,14,78,451,19,2024-11-29
183,29,138,413,17,2022-05-01
184,24,113,20,35,2025-09-08
185,19,58,240,54,2024-05-17
186,21,3,446,31,2022-09-03
187,28,185,70,29,2024-12-23
188,5,14,193,33,2023-06-27
189,23,144,149,17,2023-05-03
190,13,167,381,47,2023-06-06
191,5,214,23,17,2022-11-06
192,2,280,300,26,2025-09-15
193,30,198,333,16,2024-06-03
194,4,292,433,43,2024-12-28
195,13,217,-378,27,2025-03-08
196,17,31,106,30,2025-08-03
197,22,123,146,48,2025-02-04
198,19,248,141,57,2025-07-06
199,26,126,36,46,2025-02-07
200,17,429,282,19,2022-03-20
201,7,220,294,31,2022-01-05
202,18,1,307,25,2023-01-18
203,6,33,416,55,2025-09-14
204,24,7,-119,49,2025-06-29
205,16,46,406,53,2023-01-25
206,16,245,119,15,2025-08-20
207,5,274,230,45,2024-01-21
208,3,44,65,57,2025-07-07
209,4,31,325,50,2024-03-11
210,10,238,262,44,2023-04-12
211,30,230,443,58,2024-08-21
212,8,379,499,59,2025-07-23
213,11,18,253,18,2024-01-24
214,4,380,448,52,2023-06-03
215,29,2,376,25,2022-04-05
216,10,11,225,21,2022-07-21
217,13,142,76,13,2023-10-06
218,22,262,38,13,2025-02-10
219,23,6,75,59,2025-04-23
220,13,108,151,33,2022-07-15
221,26,238,357,41,2024-12-29
222,13,46,332,38,2024-11-05
223,13,24,421,34,2022-07-27
224,11,350,102,20,2024-12-29
225,29,402,158,13,2025-01-16
226,17,24,273,40,2024-10-25
227,4,43,172,11,2023-12-18
228,30,318,84,32,2024-08-02
229,16,53,206,60,2024-05-16
230,28,415,405,30,2023-05-25
231,16,327,128,45,2024-03-12
232,25,158,129,11,2023-10-19
233,10,216,354,31,2025-07-02
234,13,392,367,54,2024-02-26
235,11,210,382,50,2023-05-14
236,24,389,285,40,2024-08-05
237,10,83,487,29,2023-04-27
238,6,322,144,30,2024-01-07
239,29,98,40,19,2022-04-28
240,16,89,277,57,2022-12-15
241,15,191,22,10,2025-08-24
242,8,47,497,59,2022-07-12
243,29,10,265,60,2024-03-07
244,24,233,223,16,2025-07-25
245,3,443,115,56,2024-08-12
246,5,423,274,11,2022-07-27
247,17,318,79,50,2025-05-07
248,14,435,113,29,2022-03-30
249,21,65,149,11,2025-01-24
250,14,229,0,50,2024-05-27
251,8,299,291,10,2022-04-22
252,8,298,191,30,2025-05-14
253,7,85,321,13,2025-03-12
254,27,418,355,13,2024-01-06
255,19,382,465,12,2023-11-06
256,22,101,312,31,2023-02-07
257,30,165,367,40,2022-08-22
258,10,406,412,54,2022-07-13
259,26,403,70,13,2022-04-20
260,22,368,419,12,2023-06-29
261,27,420,316,19,2023-08-24
262,15,415,347,47,2025-04-10
263,25,99,464,29,2023-04-28
264,1,404,426,18,2025-03-20
265,23,65,92,19,2025-04-03
266,18,229,353,56,2022-06-06
267,26,244,320,11,2025-01-27
268,17,60,140,54,2024-02-11
269,9,265,424,35,2022-07-02
270,23,39,101,34,2025-04-27
271,18,82,354,10,2023-03-06
272,17,82,399,49,2023-11-06
273,1,265,11,53,2024-01-09
274,23,5,311,47,2024-11-27
275,1,347,108,32,2024-03-29
276,1,198,366,32,2025-10-03
277,13,36,80,49,2024-02-25
278,5,319,272,22,2023-09-10
279,6,162,137,17,2024-03-21
280,16,228,31,55,2025-06-13
281,30,154,480,41,2024-05-23
282,3,14,252,41,2023-08-13
283,25,83,401,13,2024-01-11
284,10,81,72,12,2025-09-03
285,13,184,106,18,2023-06-16
286,21,83,325,36,2022-06-04
287,1,70,129,49,2022-08-14
288,27,27,243,10,2022-11-08
289,18,313,203,36,2023-03-16
290,25,50,130,33,2022-03-09
291,27,402,241,48,2025-10-22
292,17,393,338,60,2023-08-26
293,16,130,325,16,2025-09-04
294,18,339,333,32,2022-09-09
295,15,136,181,35,2025-05-14
296,13,128,422,56,2022-07-07
297,19,199,402,20,2024-01-31
298,19,428,215,18,2023-03-09
299,19,235,89,29,2023-05-04
300,7,424,8,15,2022-07-18
301,15,132,203,11,2022-05-12
302,18,4,65,21,2024-12-11
303,7,432,478,44,2023-09-24
304,5,444,398,51,2025-12-28
305,12,385,219,31,2024-05-17
306,16,251,496,12,2022-08-06
307,25,388,91,24,2024-04-12
308,16,158,243,19,2023-05-22
309,14,35,472,42,2024-11-27
310,6,101,305,42,2024-01-18
311,29,206,114,59,2025-01-30
312,30,61,227,15,2022-05-31
313,26,142,144,14,2023-06-29
314,20,86,283,14,2024-10-09
315,5,234,311,22,2022-11-10
316,3,208,129,20,2024-10-06
317,9,298,4,46,2022-01-14
318,20,252,322,46,2022-03-11
319,1,227,342,32,2022-02-22
320,14,246,428,33,2024-10-29
321,3,320,424,42,2024-12-14
322,24,91,42,56,2024-10-12
323,13,351,188,55,2023-12-02
324,8,145,374,48,2024-01-27
325,27,279,433,51,2025-02-18
326,3,333,25,23,2025-04-09
327,15,39,443,53,2022-01-25
328,29,378,495,20,2025-10-01
329,2,55,437,42,2024-02-29
330,11,248,407,49,2022-04-25
331,3,58,36,32,2023-08-18
332,24,129,178,21,2024-03-16
333,12,6,218,23,2025-02-23
334,4,4,446,23,2023-07-30
335,4,83,101,53,2025-01-03
336,5,125,60,16,2025-06-28
337,23,254,26,10,2025-10-09
338,11,344,117,47,2023-01-27
339,24,177,367,48,2023-01-14
340,21,17,87,32,2023-11-28
341,21,275,431,27,2023-05-08
342,21,386,77,53,2024-09-12
343,14,440,410,59,2024-04-09
344,14,231,278,28,2022-01-20
345,18,21,375,20,2025-09-07
346,1,229,210,13,2024-08-14
347,8,146,81,47,2025-02-28
348,28,433,186,30,2025-10-22
349,27,140,381,49,2025-02-13
350,23,442,490,46,2025-05-23
351,21,34,227,33,2023-01-16
352,16,48,310,45,2025-04-04
353,30,107,347,30,2023-11-04
354,3,64,249,39,2023-08-11
355,20,95,200,27,2022-09-12
356,24,229,294,53,2024-09-02
357,20,142,211,34,2024-10-11
358,19,352,178,47,2022-11-21
359,19,241,500,53,2023-12-02
360,23,401,195,39,2024-02-25
361,17,357,317,46,2025-12-05
362,30,338,420,57,2022-09-14
363,9,40,71,18,2025-04-13
364,10,384,82,59,2023-05-10
365,1,219,178,34,2024-11-08
366,29,20,101,30,2022-07-20
367,25,109,417,24,2022-03-01
368,24,158,404,11,2025-11-10
369,18,282,44,53,2024-07-17
370,10,256,59,26,2024-03-24
371,28,20,455,29,2025-06-24
372,16,362,271,20,2022-11-29
373,25,57,280,29,2024-05-30
374,25,181,308,54,2023-04-16
375,23,390,469,10,2023-01-12
376,14,303,192,22,2024-11-27
377,27,132,154,54,2023-07-18
378,8,387,311,32,2025-02-03
379,10,333,363,49,2022-07-26
380,23,291,244,50,2024-10-25
381,27,437,5,21,2025-08-07
382,18,326,321,59,2023-02-10
383,29,425,406,42,2025-05-19
384,1,270,485,59,2024-06-05
385,19,261,237,58,2024-07-28
386,9,210,57,26,2022-01-04
387,17,380,321,53,2022-12-05
388,17,273,266,29,2023-08-15
389,9,179,207,46,2025-08-26
390,17,88,153,51,2024-08-02
