OrderID,OrderDate,CustomerID,StoreID,EmployeeID,PromotionID,PaymentMethod,ShippingMethod,OrderStatus
1,2022-06-06 00:00:00,396,11,123,,,Next Day,Delivered
2,2025-03-18 00:00:00,4157,12,142,,Mastercard,Standard,Delivered
3,2023-11-01 00:00:00,744,14,163,,Google Pay,Express,Delivered
4,2024-12-04 00:00:00,1829,27,316,,Bank Transfer,Next Day,Pending
5,2025-12-07 00:00:00,407,2,22,,Mastercard,Standard,Packed
6,2024-04-02 00:00:00,1182,28,320,,Google Pay,Standard,Pending
7,2024-01-05 00:00:00,1481,10,117,,Visa,Next Day,Pending
8,2022-06-01 00:00:00,4488,21,244,,Bank Transfer,Standard,Packed
9,2023-02-24 00:00:00,5574,2,22,,,Express,Returned
10,2024-01-01 00:00:00,3713,11,128,,PayPal,Express,Delivered
11,2024-10-15 00:00:00,2000,26,298,,Visa,Next Day,Delivered
12,2025-04-30 00:00:00,5976,17,200,,Apple Pay,Express,Pending
13,2023-08-08 00:00:00,1352,3,26,,PayPal,Standard,Shipped
14,2022-05-21 00:00:00,636,14,157,,Google Pay,Next Day,Delivered
15,2023-04-02 00:00:00,4069,11,132,,Google Pay,Express,Delivered
16,2025-09-13 00:00:00,3884,27,308,,Bank Transfer,Next Day,Delivered
17,2022-11-27 00:00:00,5302,2,24,,Google Pay,Next Day,Shipped
18,2023-11-21 00:00:00,5478,10,120,,PayPal,Standard,Shipped
19,2025-10-19 00:00:00,4045,12,135,,Visa,Standard,Returned
20,2022-03-09 00:00:00,3260,10,111,,Apple Pay,Express,Delivered
21,2024-07-05 00:00:00,2277,6,68,,Mastercard,Express,Packed
22,2025-11-20 00:00:00,2940,9,108,,Bank Transfer,Express,Delivered
23,2022-12-09 00:00:00,1901,5,50,,Bank Transfer,Standard,Delivered
24,2024-04-20 00:00:00,2310,16,190,,Visa,Standard,Delivered
25,2025-09-12 00:00:00,2611,18,210,,Mastercard,Next Day,Shipped
26,2022-08-11 00:00:00,443,20,239,,Apple Pay,Next Day,Packed
27,2024-03-07 00:00:00,849,13,151,,Apple Pay,Next Day,Delivered
28,2025-01-02 00:00:00,1711,2,16,,Apple Pay,Standard,Delivered
29,2024-09-27 00:00:00,2,11,130,,Google Pay,Standard,Packed
30,2023-11-30 00:00:00,577,4,42,,Mastercard,Next Day,Delivered
31,2022-11-23 00:00:00,2846,5,59,,Google Pay,Express,Shipped
32,2023-12-17 00:00:00,3818,4,38,,Apple Pay,Express,Delivered
33,2023-07-31 00:00:00,2807,3,27,,Bank Transfer,Express,Shipped
34,2023-12-07 00:00:00,1682,27,309,,Google Pay,Express,Delivered
35,2023-07-23 00:00:00,6211,23,271,,Google Pay,Express,Cancelled
36,2025-06-20 00:00:00,2140,28,319,,Google Pay,Express,Delivered
37,2025-02-25 00:00:00,6383,12,136,,Google Pay,Express,Cancelled
38,2023-05-18 00:00:00,6213,8,94,,Mastercard,Standard,Delivered
39,2024-06-02 00:00:00,4037,24,277,,PayPal,Next Day,Delivered
40,2023-03-11 00:00:00,1587,1,5,,Bank Transfer,Next Day,Delivered
41,2023-11-22 00:00:00,2988,15,180,,Visa,Standard,Delivered
42,2023-07-08 00:00:00,1675,8,92,,Apple Pay,Next Day,Pending
43,2024-09-10 00:00:00,5350,27,307,,PayPal,Next Day,Delivered
