PromotionID,CampaignName,StartDate,EndDate,DiscountPercent
1,Black Friday 2022,2022-11-24,2022-11-28,0.34
2,Christmas 2022,2022-12-10,2022-12-25,0.25
3,Summer Sale 2022,2022-06-15,2022-07-05,0.24
4,Back to School 2022,2022-08-20,2022-09-01,0.14
5,Clearance 2022,2022-03-17,2022-03-27,0.4
6,Flash Sale 2022,2022-02-02,2022-02-04,0.21
7,Black Friday 2023,2023-11-24,2023-11-28,0.34
8,Christmas 2023,2023-12-10,2023-12-25,0.31
9,Summer Sale 2023,2023-06-15,2023-07-05,0.24
10,Back to School 2023,2023-08-20,2023-09-01,0.1
11,Clearance 2023,2023-10-07,2023-10-17,1.46
12,Flash Sale 2023,2023-07-21,2023-07-23,0.19
13,Black Friday 2024,2024-11-24,2024-11-28,0.34
14,Christmas 2024,2024-12-10,2024-12-25,0.34
15,Summer Sale 2024,2024-06-15,2024-07-05,0.11
16,Back to School 2024,2024-08-20,2024-09-01,0.1
17,Clearance 2024,2024-04-05,2024-04-15,0.3
18,Flash Sale 2024,2024-08-02,2024-08-04,0.18
19,Black Friday 2025,2025-11-24,2025-11-28,0.35
20,Christmas 2025,2025-12-10,2025-12-25,0.28
21,Summer Sale 2025,2025-06-15,2025-07-05,0.24
22,Back to School 2025,2025-08-20,2025-09-01,0.19
23,Clearance 2025,2025-06-03,2025-06-13,0.31
24,Flash Sale 2025,2025-07-20,2025-07-22,0.17
25,Mid-Season Sale 2023,2023-01-05,2023-01-07,0.31
26,Clearance 2023,2023-05-08,2023-05-10,0.11
27,Weekend Special 2025,2025-01-16,2025-01-26,0.2
28,Clearance 2025,2025-04-22,2025-04-28,0.34
29,Flash Sale 2025,2025-02-21,2025-02-25,0.28
30,Weekend Special 2022,2022-05-07,2022-05-14,0.16
31,Weekend Special 2022,2022-05-21,2022-05-31,0.37
32,Clearance 2022,2022-06-19,2022-06-29,0.22
33,Flash Sale 2025,2025-04-15,2025-04-21,0.27
34,Clearance 2023,2023-10-21,2023-10-27,1.46
35,Weekend Special 2024,2024-07-04,2024-07-13,0.18
36,Weekend Special 2025,2025-06-11,2025-06-13,0.32
37,Weekend Special 2022,2022-06-22,2022-06-25,0.29
38,Mid-Season Sale 2024,2024-02-03,2024-02-11,0.39
39,Clearance 2024,2024-02-24,2024-02-26,0.13
40,Weekend Special 2025,2025-08-06,2025-08-13,0.23
