ReturnID,OrderID,ReturnDate,ReturnReason,RefundAmount
1,39560,2022-03-02,Damaged,670.55
2,34846,2025-07-03,Changed Mind,1044.94
3,42787,2022-06-02,Damaged,852.24
4,38725,2023-12-10,Wrong Item,119.63
5,23382,2025-08-27,Wrong Item,1799.53
6,41626,2023-01-07,Changed Mind,337.11
7,21083,2025-07-05,Damaged,1557.79
8,6380,2024-01-23,Wrong Item,579.44
9,43945,2024-06-12,Late Delivery,123.34
10,16481,2025-10-17,Damaged,426.25
11,12479,2023-12-28,Changed Mind,678.38
12,39891,2022-09-16,Late Delivery,91.13
13,48476,2025-12-23,Changed Mind,605.93
14,34106,2022-03-01,Faulty Product,833.15
15,13266,2025-04-27,Changed Mind,69.59
16,3226,2025-06-29,Late Delivery,250.33
17,12562,2023-12-17,Wrong Item,117.66
18,15110,2024-03-22,Wrong Item,1308.81
19,45466,2023-11-24,Wrong Item,908.56
20,43593,2025-06-04,Faulty Product,501.64
21,5807,2023-08-11,Changed Mind,1616.85
22,9963,2022-04-01,Changed Mind,188.45
23,36587,2023-08-20,Late Delivery,76.38
24,4764,2024-02-08,Faulty Product,696.04
25,20486,2024-07-12,Changed Mind,175.46
26,36847,2024-04-20,Changed Mind,713.62
27,21255,2025-06-08,Damaged,157.28
28,30990,2024-12-07,Damaged,623.07
29,46909,2023-07-29,Changed Mind,1169.37
30,47821,2023-05-01,Faulty Product,462.65
31,3123,2025-12-06,Faulty Product,1590.72
32,39090,2022-12-03,Wrong Item,600.89
33,12538,2023-12-11,Changed Mind,326.51
34,14132,2023-06-10,Late Delivery,1051.56
35,39241,2023-12-15,Late Delivery,799.15
36,44293,2022-08-08,Damaged,1249.91
37,31683,2022-12-24,Damaged,243.03
38,394,2024-12-11,Damaged,201.9
39,29767,2025-08-30,Late Delivery,154.88
40,7559,2023-11-08,Faulty Product,963.16
41,13721,2022-11-26,Late Delivery,1784.4
42,23458,2022-12-05,Late Delivery,294.86
43,15993,2022-12-22,Changed Mind,947.91
44,10004,2024-12-21,Changed Mind,534.64
45,35535,2022-06-13,Damaged,655.15
46,24755,2023-05-22,Damaged,722.07
47,21946,2022-07-19,Changed Mind,837.39
48,15358,2024-01-27,Faulty Product,599.59
49,34327,2023-01-16,Wrong Item,994.02
50,22254,2022-12-24,Late Delivery,891.66
51,17005,2024-12-21,Damaged,740.85
52,13140,2023-07-07,Changed Mind,480.77
53,12650,2025-10-21,Wrong Item,1076.14
54,28567,2022-06-21,Late Delivery,127.0
55,27640,2022-09-08,Late Delivery,474.94
56,667,2024-06-15,Late Delivery,1044.15
